file_id,year_month,title,loc,text,scope,year,month,city,state,region
1901945806,1979-04,St. Louis Post-Dispatch (1923-),st louis,"Proxmire said a decision now to balance the budget would have a great psychological effect, sending out ""one clear unmistakable signal that this government means business about inflation.""",local,1979,4,st louis,missouri,midwest
147118264,1979-01,Washington Post  (1974-) The,"washington, dc","To some analysts, the wheel-spinning Carter did in his first two years in office only made inflation more difficult to deal with.",national,1979,1,washington,district of columbia,northeast
1868546929,1978-07,Courier-Journal (1923-) The,louisville,The principles would require that any national health plan reduce health costs and help fight inflation generally.,local,1978,7,louisville,kentucky,southeast
158976652,1979-08,Los Angeles Times (1923-1995),"los angeles, calif","While income redistribution and non-indexed taxes are the problems I see associated with our in- flation, the public s hue and cry about inflation ap- pears to have little to do with these issues.",local,1979,8,los angeles,california,west
1878751006,1979-02,Minneapolis Tribune (1964-1982),minneapolis,"Carter has proposed an ""austere"" budget to reduce the federal deficit in 1980, saying that will help control inflation.",local,1979,2,minneapolis,minnesota,midwest
123791109,1978-03,New York Times  (1923-),"new york, ny","Granted, as you say, that state aid to cities and towns in Connecticut has increased at a much slower rate than inflation, do you suggest that it should be at the same rate or more?",national,1978,3,new york,new york,northeast
146877609,1978-10,Washington Post  (1974-) The,"washington, dc","The inflation package also drew support from Federal Reserve Chairman G. William Miller, who described it as a ""balanced, concerted and sustained program to fight inflation"" in a speech Wednesday night.",national,1978,10,washington,district of columbia,northeast
119836657,1973-07,New York Times  (1923-),"new york, ny","A TOUGH  PROGRAM New Regulations Go Into Effect Aug. 12 in Other Sectors By EDWARD COWAN Sprclul to Ille New York frames WASHINGTON, July 18 President Nixon ended the freeze today on prices for health care and food, except for beef, as he out. the fourth phase of his 23-monthold effort to combat price and wage inflation.",national,1973,7,new york,new york,northeast
123295513,1977-08,New York Times  (1923-),"new york, ny",What bothers these critics is that the uncertainty connected with floating rates raises the cost of doing business abroad; they also charge that floating rates make it more difficult to contain word inflation.,national,1977,8,new york,new york,northeast
158818195,1979-01,Los Angeles Times (1923-1995),"los angeles, calif","Three  ago, I  a  anu- inflation program that couples responsible government restraint with responsible wage and price restraint It is based upon my knowledge that there is a more powerful force than government compul- sion-the force created by the cooperative efforts of millions of Americans working toward a com- mon goal.",local,1979,1,los angeles,california,west
1888370381,1969-10,Cincinnati Enquirer (1923-),cincinnati,Inflation Is probably the main reason for the dearth of bodies In many cocktail lounges and nightspots.,local,1969,10,cincinnati,ohio,midwest
121129569,1980-02,New York Times  (1923-),"new york, ny",But individually they don't constitute inflation.,national,1980,2,new york,new york,northeast
158467831,1977-12,Los Angeles Times (1923-1995),"los angeles, calif","""I'm not a big bear on the inflation outlook,"" Warner adds, ""it s just that I don't see any reason for improve- ment.""",local,1977,12,los angeles,california,west
1820867248,1976-09,Detroit Free Press (1923-),detroit,"Too late, bank officials discovered that the German 100,000-mark note Holcomb had given them was completely worthless, printed during the peak of Germany's post-World War I inflation.",local,1976,9,detroit,michigan,midwest
148409678,1973-06,"Washington Post, Times Herald  (1959-1973) The","washington, dc","Government, inflation        ers had been watching the I Teamster talks closely.",national,1973,6,washington,district of columbia,northeast
146098494,1974-12,Washington Post  (1974-) The,"washington, dc","Craig said in a telephone :ir/.] terview. ' ,.:i.;i , ,""] State highway :diter/ Douglas B. Fugate.,: three weeks ago that inflation, lower than expected tax collections and the fast pace of road construction in recent months have depleted road building funds to the poin t that a moratorium on new contracts is necessary.",national,1974,12,washington,district of columbia,northeast
1888931340,1979-02,Cincinnati Enquirer (1923-),cincinnati,Flnan's argument is that state spending only feeds inflation and makes it worse.,local,1979,2,cincinnati,ohio,midwest
1892908411,1974-02,Indianapolis Star (1923-),indianapolis,"For example, a 19 per cent rate of inflation would double the cost of living in four years.",local,1974,2,indianapolis,indiana,midwest
1901124574,1971-04,St. Louis Post-Dispatch (1923-),st louis,"In a speech to the fifty-ninth annual meeting of the United States Chamber of Commerce, Mr. Nixon took issue with some private economists who had said that Administration policies policies had made little progress in curbing inflation.",local,1971,4,st louis,missouri,midwest
1901452274,1973-01,St. Louis Post-Dispatch (1923-),st louis,"In addition to the problems of inflation and unemployment, the nation's international financial accounts are badly out of balance.",local,1973,1,st louis,missouri,midwest
1910780976,1980-03,St. Louis Post-Dispatch (1923-),st louis,"Also near Lambert, construction is planned for a nine-story, 179-room addition to the Marriott Hotel, for a new 600-room motel by the Breckenridge Hotels Corp. and for a 63-unit motel to be known as the Oakland Park Inn. projecting at the very minimum a 10 percent annual inflation rate over the next five years.",local,1980,3,st louis,missouri,midwest
158170736,1977-03,Los Angeles Times (1923-1995),"los angeles, calif","With capital goods prices rising at 4.7% in 1976, the 1977 capital spend- ing estimate represents a projected real increase of about 7% assuming the same inflation rate.",local,1977,3,los angeles,california,west
1892921897,1974-07,Indianapolis Star (1923-),indianapolis,"Temp TopRale No tee e.lS1094 SECRETARY-RECEPTIONIST"" Filing shorthand end typing experience. experience. 2S7-5UM. 5?5 Fmpfoymenf SECRETARY TYPIST INFLATION"" WHO CARES?",local,1974,7,indianapolis,indiana,midwest
147241684,1980-02,Washington Post  (1974-) The,"washington, dc","Presumably, what elected Bani-Sadr president was widespread hope that as an economist he would be well equipped to cope with the country s terrible problems of inflation, unemployment and food shortages.",national,1980,2,washington,district of columbia,northeast
1878184345,1974-05,Minneapolis Tribune (1964-1982),minneapolis,"With current tax rates and the known spending programs, including including a large prospective prospective increase in defense spending, the surplus would be more than $90 billion by 1980 if inflation proceeds at an average rate of 5 percent a year.",local,1974,5,minneapolis,minnesota,midwest
275820918,1961-09,Boston Globe (1960-),"boston, mass",The spur to keep up with inflation has hiked sales.,local,1961,9,boston,massachusetts,northeast
170300850,1972-06,Chicago Tribune (1963-1996),"chicago, ill","After delays caused by a taxpayers suit, la- bor strikes, and Inflation, the cost ex- ceeded expectations-with the result that the legislature added an extra one- half cent to the sales taxes in the coun- ties for additional financing.",local,1972,6,chicago,illinois,midwest
120216106,1975-12,New York Times  (1923-),"new york, ny","The former President's secrecy about the war buildup and the related delay in tax policy, according to critics, started the nation down the road to troublesome inflation.",national,1975,12,new york,new york,northeast
1893413529,1979-06,Indianapolis Star (1923-),indianapolis,"Kahn told the subcommittee: ""The OPEC increases yesterday (Wednesday) raise the real specter that we will be bumping at double-digit inflation for the rest of this year.""",local,1979,6,indianapolis,indiana,midwest
1901694386,1976-01,St. Louis Post-Dispatch (1923-),st louis,More Company officials say that these increases are necessary because of continuing inflation and higher employe wages.,local,1976,1,st louis,missouri,midwest
133204219,1967-08,Wall Street Journal  (1923-),"new york, ny","German Wages Leveling But Contract Demands Are Due in Second Half Gains in First Six Months Were Down From the Previous Year, And Are Termed 'Moderate' By a WALL STREET JOURNAL Staff Reporter COLOGNE, West Germany--Wage costs in West Germany are leveling, strengthening hopes of some industrialists that the country s period of wage inflation may have ended, but businessmen cross fingers since a wave of wage demands must be faced in the second half.",national,1967,8,new york,new york,northeast
1833590160,1971-05,Detroit Free Press (1923-),detroit,The Bast Inflation-Fighter 01 All!,local,1971,5,detroit,michigan,midwest
1836481313,1975-10,Detroit Free Press (1923-),detroit,"T - V iuJAJ ""Samuelson may be a Nobal prlze-wlnnlng prlze-wlnnlng economist, but so Is F.A. Von Hayek, and he expects much worse Inflation than I'm predicting.""",local,1975,10,detroit,michigan,midwest
1903252264,1975-05,St. Louis Post-Dispatch (1923-),st louis,"No Cause For Fear Recession and inflation have combined to take their toll on the Social Security system, as they have on almost everything else, with the result that in the next fiscal year expenditures will exceed income by about 3 billion dollars.",local,1975,5,st louis,missouri,midwest
134466161,1980-02,Wall Street Journal  (1923-),"new york, ny","The move :d help offset the ""wide :~read impression that the Fed hasn't beer, as          as i3 should Se in  inflation. says John L Eytattt, executive vice president for 9nance and 2  of American Standard Inc., a maker of tra9 and building products and             and mining equipment.",national,1980,2,new york,new york,northeast
